,precision,recall,f1-score,support
A pé,0.7834214845887288,0.8811282051282051,0.8294072214713266,9750.0
Automóvel,0.6502894821486008,0.7871325676464863,0.7121972699251431,10274.0
Ônibus,1.0,0.003278688524590164,0.006535947712418301,305.0
Ônibus+Metrô/Trem,0.5687732342007435,0.5594149908592322,0.5640552995391706,547.0
Metrô/Trem,0.5256578947368421,0.5138263665594855,0.5196747967479676,1555.0
Transporte escolar,0.0,0.0,0.0,510.0
Taxi/Taxi App,0.40540540540540543,0.0351288056206089,0.06465517241379311,854.0
Dirigindo moto,0.5161290322580645,0.22662889518413598,0.31496062992125984,1059.0
Bicicleta,0.6237972306970195,0.4945116279069767,0.551681195516812,5375.0
Outros,0.4913294797687861,0.4838709677419355,0.48757170172084124,2108.0
accuracy,0.6720474997680675,0.6720474997680675,0.6720474997680675,0.6720474997680675
macro avg,0.5564803243804191,0.3984921115171657,0.40507392349687327,32337.0
weighted avg,0.6504740736458242,0.6720474997680675,0.6464516677446285,32337.0
