,precision,recall,f1-score,support
A pé,0.812530276118198,0.847994607347489,0.8298837305186773,5934.0
Automóvel,0.6836100756805603,0.817506416317709,0.7445866141732284,7403.0
Bicicleta,0.6790123456790124,0.2669902912621359,0.3832752613240418,206.0
Metrô/Trem,0.5253886010362694,0.44787985865724383,0.4835479256080114,1132.0
Metrô/Trem+Ônibus,0.5529122231337161,0.46870653685674546,0.5073391042529168,1438.0
Motocicleta,0.6520076481835564,0.6035398230088496,0.6268382352941176,565.0
Outros,0.29545454545454547,0.04498269896193772,0.07807807807807808,289.0
Taxi/Taxi App,0.5014749262536873,0.15902712815715622,0.24147727272727273,1069.0
Transporte escolar,0.6236453201970443,0.6292246520874751,0.6264225630875804,1006.0
Ônibus,0.5881365416899832,0.5584484590860787,0.5729081493594985,3764.0
accuracy,0.6831097079715864,0.6831097079715864,0.6831097079715864,0.6831097079715864
macro avg,0.5914172503426572,0.4844300471742821,0.5094356934423423,22806.0
weighted avg,0.6683769526116977,0.6831097079715864,0.6671079581630015,22806.0
