,precision,recall,f1-score,support
A pé,0.6972817133443163,0.8682051282051282,0.7734125171311101,9750.0
Automóvel,0.4468548025852691,0.6796768541950555,0.5392069804254661,10274.0
Ônibus,0.49176235646530203,0.18325581395348836,0.26701002981837896,5375.0
Ônibus+Metrô/Trem,0.43507501293326434,0.3989563567362429,0.41623360554318245,2108.0
Metrô/Trem,0.4243614931237721,0.13890675241157557,0.20930232558139533,1555.0
Transporte escolar,0.456,0.053824362606232294,0.09628378378378379,1059.0
Taxi/Taxi App,0.0,0.0,0.0,854.0
Dirigindo moto,0.0,0.0,0.0,547.0
Bicicleta,0.0,0.0,0.0,305.0
Outros,0.0,0.0,0.0,510.0
accuracy,0.5426291863809258,0.5426291863809258,0.5426291863809258,0.5426291863809258
macro avg,0.29513353784519236,0.2322825268107723,0.2301449242283317,32337.0
weighted avg,0.49765376695240504,0.5426291863809258,0.48924184534695475,32337.0
