,precision,recall,f1-score,support
A pé,0.8502401536983669,0.9077948717948718,0.8780753968253969,9750.0
Automóvel,0.6894123170827138,0.8575043799883201,0.7643256842927167,10274.0
Bicicleta,0.8913043478260869,0.13442622950819672,0.23361823361823358,305.0
Dirigindo moto,0.7416413373860182,0.4460694698354662,0.5570776255707762,547.0
Metrô/Trem,0.6164725457570716,0.47652733118971063,0.5375408052230686,1555.0
Ônibus+Metrô/Trem,0.5561224489795918,0.41366223908918404,0.4744287268770402,2108.0
Outros,0.7142857142857143,0.049019607843137254,0.09174311926605504,510.0
Taxi/Taxi App,0.7410071942446043,0.12060889929742388,0.20745216515609263,854.0
Transporte escolar,0.7331536388140162,0.5136921624173749,0.6041088284286509,1059.0
Ônibus,0.6247297031649303,0.5912558139534884,0.607532020646148,5375.0
accuracy,0.7239075981074311,0.7239075981074311,0.7239075981074311,0.7239075981074311
macro avg,0.7158369401239114,0.4510561004917174,0.49559026059041794,32337.0
weighted avg,0.7209310674828018,0.7239075981074311,0.7036847243231721,32337.0
