,precision,recall,f1-score,support
A pé,0.7912837517764093,0.8566153846153847,0.82265451859148,9750.0
Automóvel,0.6327292958194246,0.7748686003503991,0.6966223311165559,10274.0
Ônibus,0.0,0.0,0.0,305.0
Ônibus+Metrô/Trem,0.5421348314606742,0.35283363802559414,0.4274640088593577,547.0
Metrô/Trem,0.5,0.44308681672025724,0.4698261166041595,1555.0
Transporte escolar,0.2,0.00196078431372549,0.0038834951456310682,510.0
Taxi/Taxi App,0.23684210526315788,0.01053864168618267,0.020179372197309413,854.0
Dirigindo moto,0.44750795334040294,0.39848914069877245,0.42157842157842157,1059.0
Bicicleta,0.5398529119459352,0.5053023255813953,0.522006534691524,5375.0
Outros,0.4975845410628019,0.3420303605313093,0.405397807140849,2108.0
accuracy,0.6513900485511952,0.6513900485511952,0.6513900485511952,0.6513900485511952
macro avg,0.4387935390668806,0.368572569252302,0.3789612605925289,32337.0
weighted avg,0.6190591833698166,0.6513900485511952,0.6267869878645557,32337.0
