,precision,recall,f1-score,support
A pé,0.8142802155504234,0.8678974358974358,0.8402343362128885,9750.0
Automóvel,0.6667753770892785,0.795989877360327,0.7256754958072674,10274.0
Ônibus,0.6470588235294118,0.14426229508196722,0.23592493297587136,305.0
Ônibus+Metrô/Trem,0.6256684491978609,0.6416819012797075,0.6335740072202166,547.0
Metrô/Trem,0.5606557377049181,0.5498392282958199,0.5551948051948051,1555.0
Transporte escolar,0.375,0.01764705882352941,0.033707865168539325,510.0
Taxi/Taxi App,0.484472049689441,0.09133489461358314,0.1536945812807882,854.0
Dirigindo moto,0.5730593607305936,0.4740321057601511,0.5188630490956072,1059.0
Bicicleta,0.6095675788594109,0.5428837209302325,0.5742963983467821,5375.0
Outros,0.5381406436233611,0.4283681214421252,0.47702060221870046,2108.0
accuracy,0.6896125181680428,0.6896125181680428,0.6896125181680428,0.6896125181680428
macro avg,0.58946782359747,0.45539366394848785,0.4748186073521466,32337.0
weighted avg,0.6748857589580537,0.6896125181680428,0.6716779402485549,32337.0
